Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Lipidation
O08543,reviewed,EFNA5_MOUSE,Ephrin-A5 (AL-1) (EPH-related receptor tyrosine kinase ligand 7) (LERK-7),Efna5 Epl7 Eplg7 Lerk7,Mus musculus (Mouse),228,"LIPID 203; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
O08545,reviewed,EFNA3_MOUSE,Ephrin-A3 (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3),Efna3 Epl3 Eplg3 Lerk3,Mus musculus (Mouse),230,"LIPID 206; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
O08602,reviewed,RAE1A_MOUSE,Retinoic acid early-inducible protein 1-alpha (RAE-1-alpha),Raet1a,Mus musculus (Mouse),253,"LIPID 229; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
O08603,reviewed,RAE1B_MOUSE,Retinoic acid early-inducible protein 1-beta (RAE-1-beta),Raet1b,Mus musculus (Mouse),253,"LIPID 229; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
O08604,reviewed,RAE1C_MOUSE,Retinoic acid early-inducible protein 1-gamma (RAE-1-gamma),Raet1c,Mus musculus (Mouse),253,"LIPID 227; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
O08738,reviewed,CASP6_MOUSE,Caspase-6 (CASP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18; Caspase-6 subunit p11],Casp6 Mch2,Mus musculus (Mouse),276,"LIPID 246; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P55212""; LIPID 259; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P55212"""
O08786,reviewed,CCKAR_MOUSE,Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R),Cckar,Mus musculus (Mouse),436,"LIPID 395; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O08842,reviewed,GFRA2_MOUSE,GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (TGF-beta-related neurotrophic factor receptor 2),Gfra2 Gdnfrb Trnr2,Mus musculus (Mouse),464,"LIPID 443; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
O08858,reviewed,SSR5_MOUSE,Somatostatin receptor type 5 (SS-5-R) (SS5-R) (SS5R),Sstr5 Smstr5,Mus musculus (Mouse),362,"LIPID 319; /note=""S-palmitoyl cysteine; by ZDHHC5""; /evidence=""ECO:0000269|PubMed:21820437"""
O09005,reviewed,DEGS1_MOUSE,Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Retinol isomerase) (EC 5.2.1.-),Degs1 Degs Des1 Mdes,Mus musculus (Mouse),323,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:O15121"""
O09044,reviewed,SNP23_MOUSE,Synaptosomal-associated protein 23 (SNAP-23) (Syndet) (Vesicle-membrane fusion protein SNAP-23),Snap23 Sndt,Mus musculus (Mouse),210,"LIPID 79; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 80; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 83; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 85; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 87; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O35118,reviewed,GFRA3_MOUSE,GDNF family receptor alpha-3 (GDNF receptor alpha-3) (GDNFR-alpha-3) (GFR-alpha-3),Gfra3,Mus musculus (Mouse),397,"LIPID 371; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
O35136,reviewed,NCAM2_MOUSE,Neural cell adhesion molecule 2 (N-CAM-2) (NCAM-2) (Neural cell adhesion molecule RB-8) (R4B12),Ncam2 Ocam Rncam,Mus musculus (Mouse),837,"LIPID O35136-2:703; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
O35468,reviewed,WNT9B_MOUSE,Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15),Wnt9b Wnt14b Wnt15,Mus musculus (Mouse),359,"LIPID 218; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
O35626,reviewed,RASD1_MOUSE,Dexamethasone-induced Ras-related protein 1,Rasd1 Dexras1,Mus musculus (Mouse),280,"LIPID 277; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
O35632,reviewed,HYAL2_MOUSE,Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2),Hyal2,Mus musculus (Mouse),473,"LIPID 448; /note=""GPI-anchor amidated asparagine; alternate""; /evidence=""ECO:0000255"""
O35926,reviewed,CD5R2_MOUSE,Cyclin-dependent kinase 5 activator 2 (CDK5 activator 2) (Cyclin-dependent kinase 5 regulatory subunit 2) (p39) (p39I),Cdk5r2 Nck5ai,Mus musculus (Mouse),369,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
O35963,reviewed,RB33B_MOUSE,Ras-related protein Rab-33B,Rab33b,Mus musculus (Mouse),229,"LIPID 227; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 229; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
O35975,reviewed,NAR2B_MOUSE,T-cell ecto-ADP-ribosyltransferase 2 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 2) (ARTC2) (Mono(ADP-ribosyl)transferase 2B) (NAD(+) glycohydrolase) (EC 3.2.2.5) (T-cell NAD(P)(+)--arginine ADP-ribosyltransferase 2) (T-cell differentiation marker Rt6 homolog 2) (T-cell mono(ADP-ribosyl)transferase 2),Art2b Rt6-2 Rt6.2,Mus musculus (Mouse),289,"LIPID 260; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250"""
O54799,reviewed,NMBR_MOUSE,Neuromedin-B receptor (NMB-R) (Neuromedin-B-preferring bombesin receptor),Nmbr,Mus musculus (Mouse),390,"LIPID 341; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P21917"""
O54957,reviewed,LAT_MOUSE,Linker for activation of T-cells family member 1 (36 kDa phosphotyrosine adapter protein) (pp36) (p36-38),Lat,Mus musculus (Mouse),242,"LIPID 27; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19592663""; LIPID 30; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19592663"""
O55013,reviewed,TPPC3_MOUSE,Trafficking protein particle complex subunit 3 (BET3 homolog),Trappc3 Bet3,Mus musculus (Mouse),180,"LIPID 68; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:15608655"""
O55074,reviewed,AKA7A_MOUSE,A-kinase anchor protein 7 isoform alpha (AKAP-7 isoform alpha) (A-kinase anchor protein 18) (AKAP-18) (A-kinase anchor protein 9 kDa) (AKAP 9) (Protein kinase A-anchoring protein 7 isoform alpha) (PRKA7 isoform alpha),Akap7 Akap18,Mus musculus (Mouse),81,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:9545239""; LIPID 5; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:9545239""; LIPID 6; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:9545239"""
O55186,reviewed,CD59A_MOUSE,CD59A glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),Cd59a Cd59,Mus musculus (Mouse),123,"LIPID 96; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250"""
O70166,reviewed,STMN3_MOUSE,Stathmin-3 (Hippocampus abundant transcript 3) (SCG10-like protein) (SCG10-related protein HiAT3),Stmn3 Sclip,Mus musculus (Mouse),180,"LIPID 22; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 24; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O70174,reviewed,ACHA4_MOUSE,Neuronal acetylcholine receptor subunit alpha-4,Chrna4 Acra4,Mus musculus (Mouse),629,"LIPID 273; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O70274,reviewed,TP4A2_MOUSE,Protein tyrosine phosphatase type IVA 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a2) (Protein-tyrosine phosphatase of regenerating liver 2) (PRL-2),Ptp4a2 Prl2,Mus musculus (Mouse),167,"LIPID 164; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000269|PubMed:10747914"""
O70283,reviewed,WNT2B_MOUSE,Protein Wnt-2b (Protein Wnt-13),Wnt2b Wnt13,Mus musculus (Mouse),389,"LIPID 241; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
O70293,reviewed,GRK6_MOUSE,G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6),Grk6 Gprk6,Mus musculus (Mouse),576,"LIPID 561; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 562; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 565; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O70342,reviewed,NPY5R_MOUSE,Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor),Npy5r Npy5,Mus musculus (Mouse),466,"LIPID 462; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
O70443,reviewed,GNAZ_MOUSE,Guanine nucleotide-binding protein G(z) subunit alpha (G(x) alpha chain) (Gz-alpha),Gnaz,Mus musculus (Mouse),355,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O88310,reviewed,ITL1A_MOUSE,Intelectin-1a (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor),Itln1 Intl Itln Itln1a Itlna,Mus musculus (Mouse),313,"LIPID 298; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
O88319,reviewed,NTR1_MOUSE,Neurotensin receptor type 1 (NT-R-1) (NTR1),Ntsr1 Ntsr,Mus musculus (Mouse),424,"LIPID 386; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P30989""; LIPID 388; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P30989"""
O88507,reviewed,CNTFR_MOUSE,Ciliary neurotrophic factor receptor subunit alpha (CNTF receptor subunit alpha) (CNTFR-alpha),Cntfr,Mus musculus (Mouse),372,"LIPID 342; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
O88572,reviewed,LRP6_MOUSE,Low-density lipoprotein receptor-related protein 6 (LRP-6),Lrp6,Mus musculus (Mouse),1613,"LIPID 1394; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 1399; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O88697,reviewed,STK16_MOUSE,Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Embryo-derived protein kinase) (Edpk) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase Krct) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2),Stk16 Edpk Krct Mpsk1 Pkl12 Tsf1,Mus musculus (Mouse),305,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250""; LIPID 6; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 8; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O88721,reviewed,V2R_MOUSE,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor),Avpr2 V2r,Mus musculus (Mouse),371,"LIPID 341; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 342; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
O88728,reviewed,IFM5_MOUSE,Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (Bril) (Dispanin subfamily A member 1) (DSPA1) (Fragilis family member 4),Ifitm5 Bril Fragilis4,Mus musculus (Mouse),134,"LIPID 52; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:24058703, ECO:0000305|PubMed:24715519""; LIPID 53; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:24058703, ECO:0000305|PubMed:24715519""; LIPID 86; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:24058703, ECO:0000305|PubMed:24715519"""
O88737,reviewed,BSN_MOUSE,Protein bassoon,Bsn Kiaa0434,Mus musculus (Mouse),3942,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
O88848,reviewed,ARL6_MOUSE,ADP-ribosylation factor-like protein 6,Arl6 Bbs3,Mus musculus (Mouse),186,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000255"""
O88875,reviewed,BY55_MOUSE,"CD160 antigen (Natural killer cell receptor BY55) (CD antigen CD160) [Cleaved into: CD160 antigen, soluble form]",Cd160 By55,Mus musculus (Mouse),185,"LIPID 160; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250"""
O89001,reviewed,CBPD_MOUSE,Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D) (gp180),Cpd,Mus musculus (Mouse),1377,"LIPID 1314; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 1318; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 1320; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P00520,reviewed,ABL1_MOUSE,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),Abl1 Abl,Mus musculus (Mouse),1123,"LIPID P00520-4:2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:12654251"""
P01831,reviewed,THY1_MOUSE,Thy-1 membrane glycoprotein (Thy-1 antigen) (CD antigen CD90),Thy1 Thy-1,Mus musculus (Mouse),162,"LIPID 131; /note=""GPI-anchor amidated cysteine; alternate""; /evidence=""ECO:0000269|PubMed:6177036"""
P04426,reviewed,WNT1_MOUSE,Proto-oncogene Wnt-1 (Proto-oncogene Int-1),Wnt1 Int-1 Wnt-1,Mus musculus (Mouse),370,"LIPID 224; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:Q91029"""
P04919,reviewed,B3AT_MOUSE,Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (MEB3) (Solute carrier family 4 member 1) (CD antigen CD233),Slc4a1 Ae1,Mus musculus (Mouse),929,"LIPID 861; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P04925,reviewed,PRIO_MOUSE,Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230),Prnp Prn-p Prp,Mus musculus (Mouse),254,"LIPID 230; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250|UniProtKB:P04273"""
P05132,reviewed,KAPCA_MOUSE,cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11),Prkaca Pkaca,Mus musculus (Mouse),351,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:11141074"""
P05480,reviewed,SRC_MOUSE,Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src),Src,Mus musculus (Mouse),535,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P05533,reviewed,LY6A_MOUSE,Lymphocyte antigen 6A-2/6E-1 (Ly-6A.2/Ly-6E.1) (Stem cell antigen 1) (SCA-1) (T-cell-activating protein) (TAP),Ly6a Ly6,Mus musculus (Mouse),134,"LIPID 112; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
P06240,reviewed,LCK_MOUSE,Proto-oncogene tyrosine-protein kinase LCK (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (p56-LCK),Lck Lsk-t,Mus musculus (Mouse),509,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000305|PubMed:7980442""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:7980442, ECO:0000269|PubMed:8413237""; LIPID 5; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:7980442, ECO:0000269|PubMed:8413237"""
P06332,reviewed,CD4_MOUSE,T-cell surface glycoprotein CD4 (T-cell differentiation antigen L3T4) (T-cell surface antigen T4/Leu-3) (CD antigen CD4),Cd4,Mus musculus (Mouse),457,"LIPID 418; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 421; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P06804,reviewed,TNFA_MOUSE,"Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]",Tnf Tnfa Tnfsf2,Mus musculus (Mouse),235,"LIPID 20; /note=""N6-myristoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P01375"""
P06837,reviewed,NEUM_MOUSE,Neuromodulin (Axonal membrane protein GAP-43) (Calmodulin-binding protein P-57) (Growth-associated protein 43),Gap43 Basp2,Mus musculus (Mouse),227,"LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:27875292""; LIPID 4; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:27875292"""
P08103,reviewed,HCK_MOUSE,Tyrosine-protein kinase HCK (EC 2.7.10.2) (B-cell/myeloid kinase) (BMK) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p56-HCK/p59-HCK),Hck,Mus musculus (Mouse),524,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250""; LIPID P08103-2:2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P08631""; LIPID P08103-2:3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P08631"""
P08228,reviewed,SODC_MOUSE,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1),Sod1,Mus musculus (Mouse),154,"LIPID 7; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P08556,reviewed,RASN_MOUSE,GTPase NRas (EC 3.6.5.2) (Transforming protein N-Ras),Nras,Mus musculus (Mouse),189,"LIPID 181; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P01111""; LIPID 186; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P01111"""
P08752,reviewed,GNAI2_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),Gnai2 Gnai-2,Mus musculus (Mouse),355,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P04899""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P09242,reviewed,PPBT_MOUSE,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase 2) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)",Alpl Akp-2 Akp2,Mus musculus (Mouse),524,"LIPID 501; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
P0C0A3,reviewed,CHMP6_MOUSE,Charged multivesicular body protein 6 (Chromatin-modifying protein 6),Chmp6,Mus musculus (Mouse),200,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q96FZ7"""
P0DP60,reviewed,LYNX1_MOUSE,Ly-6/neurotoxin-like protein 1 (GC26),Lynx1,Mus musculus (Mouse),116,"LIPID 92; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
P10404,reviewed,ENV1_MOUSE,MLV-related proviral Env polyprotein [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],,Mus musculus (Mouse),641,"LIPID 601; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P10810,reviewed,CD14_MOUSE,Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14),Cd14,Mus musculus (Mouse),366,"LIPID 336; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
P10833,reviewed,RRAS_MOUSE,Ras-related protein R-Ras (EC 3.6.5.-) (p23),Rras,Mus musculus (Mouse),218,"LIPID 215; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P11881,reviewed,ITPR1_MOUSE,"Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Inositol 1,4,5-trisphosphate-binding protein P400) (Protein PCD-6) (Purkinje cell protein 1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)",Itpr1 Insp3r Pcd6 Pcp1,Mus musculus (Mouse),2749,"LIPID 56; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:25368151""; LIPID 849; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:25368151"""
P11928,reviewed,OAS1A_MOUSE,2'-5'-oligoadenylate synthase 1A ((2-5')oligo(A) synthase 1A) (2-5A synthase 1A) (EC 2.7.7.84) (p42 OAS),Oas1a Oias1,Mus musculus (Mouse),367,"LIPID 364; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000305|PubMed:34581622"""
P12672,reviewed,RAPSN_MOUSE,43 kDa receptor-associated protein of the synapse (RAPsyn) (43 kDa postsynaptic protein) (Acetylcholine receptor-associated 43 kDa protein),Rapsn,Mus musculus (Mouse),412,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P12960,reviewed,CNTN1_MOUSE,Contactin-1 (Neural cell surface protein F3),Cntn1,Mus musculus (Mouse),1020,"LIPID 1001; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
P13595,reviewed,NCAM1_MOUSE,Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56),Ncam1 Ncam,Mus musculus (Mouse),1115,"LIPID P13595-3:706; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
P13808,reviewed,B3A2_MOUSE,Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Band 3-related protein) (B3RP) (Non-erythroid band 3-like protein) (Solute carrier family 4 member 2),Slc4a2 Ae2,Mus musculus (Mouse),1237,"LIPID 1169; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
